request_num,size,duration
167,1024,0.024368400001549162
108,1024,0.018186092987889424
207,1024,0.012431681010639295
92,1024,0.022173866993398406
206,512,0.014702615997521207
83,512,0.014793644004384987
75,1024,0.01758200299809687
98,512,0.019453768007224426
140,1024,0.02588533599919174
142,512,0.01890059000288602
70,1024,0.012171572001534514
197,512,0.013674223999259993
10,512,0.02026829999522306
114,512,0.024305920000188053
173,1024,0.012803920995793305
172,1024,0.012542657990707085
39,512,0.01597838599991519
90,1024,0.014235706999897957
11,512,0.01608626999950502
136,1024,0.02626046100340318
9,1024,0.016751422997913323
87,1024,0.031906386007904075
55,512,0.016843170000356622
74,512,0.020269145999918692
86,512,0.02367410399892833
234,512,0.018250755994813517
216,1024,0.012506081999163143
64,1024,0.02035787700151559
245,512,0.015459374990314245
158,1024,0.0245889860088937
231,1024,0.03501467600290198
217,1024,0.011451971004134975
222,512,0.005390657999669202
195,1024,0.016329731995938346
150,512,0.011900331999640912
238,1024,0.013252209013444372
48,1024,0.016987003007670864
95,1024,0.043829325994011015
53,1024,0.024225097004091367
170,1024,0.01115546899382025
246,1024,0.007047938008327037
186,512,0.014392298005986959
118,512,0.021205312994425185
16,512,0.01981980199343525
209,512,0.016698633990017697
6,1024,0.0074449200037634
213,1024,0.03215472800366115
183,1024,0.03605627799697686
104,512,0.019711585002369247
34,1024,0.012389073002850637
99,512,0.030340208002598956
149,1024,0.010028625998529606
219,1024,0.025541978000546806
232,512,0.023730704007903114
73,1024,0.024964759999420494
126,512,0.017630904010729864
247,1024,0.010344091002480127
4,512,0.008167306004907005
25,1024,0.015605047010467388
123,1024,0.027483586003654636
200,512,0.018653655002708547
113,512,0.020143890011240728
57,1024,0.008577479995437898
58,1024,0.010257769987219945
205,1024,0.0147018499992555
56,1024,0.018809343004249968
35,1024,0.019081228994764388
236,512,0.014063883005292155
65,512,0.01635361999797169
127,512,0.03400961999432184
24,1024,0.012105204004910775
230,512,0.025586613002815284
146,512,0.02433231299801264
122,512,0.025206772988894954
30,512,0.010963645996525884
20,512,0.015306920002331026
177,1024,0.008861456997692585
49,1024,0.019447454003966413
185,1024,0.022004277998348698
81,512,0.014724788998137228
59,512,0.019378689990844578
19,1024,0.01474563499505166
97,1024,0.014797245006775483
166,512,0.015617634999216534
249,1024,0.021363924999604933
201,512,0.02501474400924053
100,512,0.0370472759968834
129,1024,0.008947435999289155
128,512,0.02125705200887751
18,1024,0.013432102001388557
164,512,0.016438100006780587
251,1024,0.01003627099271398
107,512,0.02184861499699764
82,512,0.012205033010104671
67,512,0.016735129000153393
139,1024,0.02634821500396356
93,512,0.023447753002983518
72,512,0.011873112991452217
94,512,0.006875980994664133
138,512,0.016149290997418575
165,1024,0.02540219499496743
43,512,0.018138012994313613
22,512,0.013626008003484458
